id,saker_id,emne_id
88641,1992,195
88642,1992,196
88677,1993,2
88678,1993,3
88679,1993,49
88680,1993,51
88681,1993,106
88682,1993,107
88683,1993,109
88684,1993,111
88685,1993,143
88686,1993,146
88687,1993,147
88688,1993,155
88689,1993,179
88690,1993,185
88691,1993,187
88692,1993,189
88395,1994,4
88396,1994,6
88397,1994,21
88398,1994,22
88399,1994,23
88400,1994,45
88401,1994,51
88402,1994,71
88403,1994,73
88404,1994,74
88405,1994,75
88406,1994,86
88407,1994,121
88408,1994,139
88409,1994,140
88410,1994,155
88411,1994,163
88412,1994,175
88413,1994,185
88414,1994,187
88415,1994,190
88416,1995,4
88417,1995,6
88418,1995,21
88419,1995,22
88420,1995,45
88421,1995,50
88422,1995,51
88423,1995,53
88424,1995,74
88425,1995,81
88426,1995,82
88427,1995,86
88428,1995,87
88429,1995,88
88430,1995,89
88431,1995,99
88432,1995,113
88433,1995,119
88434,1995,138
88435,1995,139
88436,1995,142
88437,1995,155
88438,1995,163
88439,1995,173
88440,1995,184
88441,1995,185
88442,1995,187
88784,1996,2
88785,1996,3
88786,1996,4
88787,1996,10
88788,1996,11
88789,1996,46
88790,1996,58
88791,1996,61
88792,1996,69
88793,1996,71
88794,1996,74
88795,1996,80
88796,1996,81
88797,1996,82
88798,1996,86
88799,1996,87
88800,1996,89
88801,1996,109
88802,1996,113
88803,1996,114
88804,1996,119
88805,1996,134
88806,1996,135
88807,1996,178
88808,1996,179
88809,1996,184
88810,1996,185
88811,1996,186
88812,1996,187
88813,1996,191
88814,1996,196
88815,1996,211
88852,1999,151
88853,1999,185
88854,1999,187
88855,1999,203
88769,2002,10
88770,2002,185
88771,2002,186
88772,2002,187
88773,2003,185
88774,2003,187
88568,2005,163
88569,2005,176
88570,2005,185
88571,2005,187
88066,2006,5
88067,2006,7
88068,2006,94
88069,2006,113
88070,2006,205
88071,2008,5
88072,2008,7
88073,2009,5
88074,2009,7
87981,2010,8
87982,2010,11
87983,2010,15
87984,2010,143
87985,2010,145
87986,2010,146
88572,2013,163
88573,2013,166
88574,2013,174
88575,2017,163
88576,2017,168
87418,2022,4
87419,2022,71
87420,2022,113
88213,2023,6
88214,2023,142
87997,2024,11
87998,2024,12
87999,2024,14
88000,2024,16
88596,2025,8
88597,2025,9
88598,2025,185
88599,2025,187
88049,2026,2
88050,2026,3
87890,2027,6
87891,2027,70
88215,2028,6
88216,2028,113
88217,2028,124
88218,2028,163
88219,2028,173
88826,2029,10
88827,2029,58
88828,2029,185
88829,2029,186
88830,2029,187
88775,2032,10
88776,2032,33
88777,2032,185
88778,2032,186
88779,2032,187
88820,2033,6
88821,2033,61
88822,2033,66
88823,2033,126
88824,2034,10
88825,2034,186
88846,2035,50
88847,2035,99
88848,2035,113
88849,2035,187
88850,2036,58
88851,2036,187
87976,2046,6
87977,2046,11
87978,2046,112
87979,2046,113
87980,2046,142
88358,2047,2
88359,2047,107
88360,2047,109
87937,2050,40
87618,2052,10
87619,2052,148
88211,2053,86
88212,2053,187
88015,2054,58
88016,2054,187
88206,2055,10
88207,2055,89
88208,2055,185
88209,2055,186
88210,2055,187
88001,2056,4
88002,2056,58
88003,2056,74
88004,2056,187
88005,2057,4
88006,2057,11
88007,2057,58
88008,2057,71
88009,2057,81
88010,2057,163
88011,2057,176
88012,2057,187
88013,2057,191
88014,2057,192
88600,2059,8
88601,2059,22
88602,2059,163
87888,2060,8
87889,2060,91
88718,2061,11
88719,2061,15
88720,2061,51
88721,2061,59
88722,2061,60
88723,2061,155
88724,2061,163
88725,2061,169
88726,2061,177
88727,2061,185
88728,2061,187
88729,2061,193
88361,2062,11
88362,2062,12
88363,2062,19
88364,2062,22
88365,2062,51
88366,2062,105
88367,2062,141
88368,2062,155
88369,2062,163
88370,2062,176
88371,2062,198
88098,2063,28
88099,2063,151
87972,2064,6
87973,2064,142
87974,2064,163
87975,2064,176
88353,2065,46
88354,2065,163
88355,2065,173
88220,2066,1
88221,2066,6
88222,2066,18
88223,2066,31
88224,2066,32
88225,2066,33
88226,2066,34
88227,2066,35
88228,2066,36
88229,2066,45
88230,2066,67
88231,2066,105
88232,2066,158
88233,2066,160
88234,2066,183
88235,2066,184
87916,2068,31
87917,2068,32
87918,2068,183
87804,2069,37
87805,2069,52
87806,2069,184
87620,2070,6
87621,2070,124
87622,2070,155
87923,2071,21
87924,2071,139
87925,2071,163
87926,2071,200
87478,2074,5
87479,2074,94
87480,2074,143
87481,2074,146
88261,2075,4
88262,2075,51
88263,2075,71
88264,2075,73
88265,2075,74
88266,2075,86
88267,2075,155
88268,2075,187
88269,2075,190
87848,2076,4
87849,2076,73
87921,2078,44
87922,2078,155
87660,2079,6
87661,2079,68
88253,2080,2
88254,2080,3
88255,2080,51
88256,2080,106
88257,2080,107
88258,2080,109
88259,2080,155
88260,2080,189
87966,2081,2
87967,2081,179
88356,2082,2
88357,2082,3
87886,2083,2
87887,2083,179
88236,2084,10
88237,2084,49
88238,2084,61
88239,2084,64
88240,2084,185
88241,2084,186
88242,2084,187
88243,2085,10
88244,2085,48
88245,2085,49
88246,2085,61
88247,2085,62
88248,2085,63
88249,2085,143
88250,2085,145
88251,2085,186
88252,2085,188
87614,2086,6
87615,2086,70
87616,2086,163
87617,2086,173
88577,2087,18
88578,2087,51
88579,2087,155
88580,2087,163
88581,2087,168
88582,2087,174
88583,2087,184
88584,2087,185
88585,2087,187
87919,2090,163
87920,2090,166
88017,2092,87
88018,2092,88
88019,2092,187
88100,2118,25
88101,2118,151
88592,2128,32
88593,2128,135
88594,2128,183
88595,2128,184
88075,2139,5
88076,2139,7
88077,2139,94
87476,2140,6
87477,2140,127
87807,2141,49
87808,2141,61
88831,2142,50
88832,2142,99
88833,2142,113
88834,2142,187
88714,2145,21
88715,2145,22
88716,2145,139
88717,2145,163
88168,2146,46
88169,2146,69
87563,2152,32
87564,2152,183
88035,2153,32
88036,2153,61
88037,2153,64
88038,2153,159
88586,2163,54
88587,2163,143
88588,2163,145
88589,2163,163
88590,2163,171
88591,2163,187
88096,2170,151
88097,2170,203
88673,2176,2
88674,2176,179
88675,2176,185
88676,2176,187
88603,2179,8
88604,2179,185
88605,2179,187
88757,2181,58
88758,2181,185
88759,2181,187
88760,2181,192
88761,2183,58
88762,2183,187
88763,2184,58
88764,2184,187
87716,2199,6
87717,2199,23
87718,2199,46
87719,2199,121
87720,2199,139
87856,2200,11
87857,2200,98
87858,2200,113
88032,2202,32
88033,2202,35
88034,2202,45
88272,2210,6
88273,2210,24
88274,2210,40
88275,2210,41
88276,2210,42
88277,2210,43
88278,2210,51
88279,2210,98
88280,2210,113
88281,2210,125
88282,2210,155
88283,2211,25
88284,2211,53
88285,2211,82
88286,2211,87
88287,2211,151
88288,2211,155
88289,2211,187
88346,2212,11
88290,2215,46
88291,2215,51
88292,2215,69
88293,2215,131
88294,2215,132
88295,2215,133
88296,2215,139
88297,2215,155
88298,2215,196
88299,2216,21
88300,2216,23
88301,2216,51
88302,2216,139
88303,2216,140
88304,2216,155
88305,2216,163
88306,2216,175
88307,2222,51
88308,2222,86
88309,2222,113
88310,2222,114
88311,2222,119
88312,2222,143
88313,2222,145
88314,2222,155
88315,2222,187
88316,2229,10
88317,2229,40
88318,2229,61
88319,2229,65
88320,2229,186
88321,2230,5
88322,2230,7
88323,2230,10
88324,2230,49
88325,2230,61
88326,2230,95
88327,2230,186
88030,2240,31
88031,2240,32
87904,2241,25
87905,2241,151
87906,2241,163
88349,2242,81
88350,2242,187
87896,2251,46
87968,2252,10
87969,2252,186
88204,2254,30
88205,2254,151
88270,2258,25
88271,2258,151
88347,2259,2
88348,2259,107
88106,2275,29
88107,2275,89
88108,2275,113
88109,2275,119
88110,2275,151
88111,2275,187
87300,2276,4
87301,2276,71
87302,2276,75
88020,2281,57
88021,2281,58
88022,2281,187
87766,2282,10
87767,2282,11
87768,2282,14
87769,2282,20
87770,2282,113
87771,2282,211
88380,2300,88
88381,2300,187
88382,2302,6
88383,2302,126
88384,2303,151
88385,2303,153
88386,2304,11
88387,2304,59
88388,2304,198
88389,2305,26
88390,2305,151
88391,2306,151
88392,2306,203
88393,2307,52
88394,2307,184
88078,2319,10
88079,2319,61
88080,2319,163
88081,2319,173
88082,2319,188
