"id","versjon","fornavn","etternavn","foedselsdato","doedsdato","kjoenn","fylke_id","parti_id","top_words_in_questions","top_tfidf_words_in_questions"
"LABR","1.0","Lars","Breie","1907-04-03 00:00:00","1999-10-05 00:00:00","mann","Bu","A",NULL,NULL
"LAE",NULL,"Lars","Egeland","1957-12-06 00:00:00","0001-01-01 00:00:00","mann","Ve","SV","<span class=\"size-1\" name=\"3\">samferdselsministeren</span><span class=\"size-1\" name=\"3\">komforten</span>","<span class=\"size-1\" name=\"0.281418317485\">komforten</span><span class=\"size-4\" name=\"0.169323132838\">samferdselsministeren</span><span class=\"size-5\" name=\"0.145548797668\">Tønsberg</span><span class=\"size-6\" name=\"0.113966261329\">16</span><span class=\"size-7\" name=\"0.101653336462\">Vestfold-Telemark-Buskerudregionen</span><span class=\"size-7\" name=\"0.101653336462\">halvtimesavganger</span><span class=\"size-7\" name=\"0.101653336462\">periodebillett</span><span class=\"size-7\" name=\"0.101653336462\">Esso-raffineriet</span><span class=\"size-7\" name=\"0.101653336462\">Flirt-tog</span><span class=\"size-7\" name=\"0.101653336462\">utspørring</span><span class=\"size-7\" name=\"0.101653336462\">nødstilte</span><span class=\"size-7\" name=\"0.101653336462\">fjernvarme_</span><span class=\"size-7\" name=\"0.101653336462\">brukerundersøkelser</span><span class=\"size-7\" name=\"0.101653336462\">prosedyreverk</span><span class=\"size-7\" name=\"0.101653336462\">regionledelsen</span><span class=\"size-7\" name=\"0.101653336462\">nødtelefon</span><span class=\"size-7\" name=\"0.0987182649698\">mener</span><span class=\"size-7\" name=\"0.0967022851719\">Sør-Østlandet</span><span class=\"size-7\" name=\"0.0967022851719\">Slagentangen</span><span class=\"size-7\" name=\"0.0938061058283\">spillvarme</span><span class=\"size-7\" name=\"0.0852063000831\">togavgang</span><span class=\"size-8\" name=\"0.0828029269644\">Skattedirektoratets</span><span class=\"size-8\" name=\"0.0795744617948\">målrettet</span><span class=\"size-8\" name=\"0.0795744617948\">velges</span><span class=\"size-8\" name=\"0.0776012233903\">vurderingene</span><span class=\"size-8\" name=\"0.0771248564296\">Politidirektoratet</span><span class=\"size-8\" name=\"0.076898080013\">skoleelever</span><span class=\"size-8\" name=\"0.0764650470001\">respons</span><span class=\"size-8\" name=\"0.0751278216994\">_utbygging</span>"
"LAEV","1.0","Lars Samuel Myhrer","Evensen","1896-11-12 00:00:00","1969-01-19 00:00:00","mann","Os","A",NULL,NULL
"LAG","1.0","Laila","Gustavsen","1973-10-24 00:00:00","0001-01-01 00:00:00","kvinne","Bu","A",NULL,NULL
"LAGJ","1.0","Sverre","Gjørwad","1885-11-23 00:00:00","1969-07-15 00:00:00","mann","Øs","H",NULL,NULL
"LAGR","1.0","Laurits","Grønland","1887-06-12 00:00:00","1957-03-29 00:00:00","mann","Ve","A",NULL,NULL
"LAHO","1.0","Lars","Holen","1912-01-27 00:00:00","1994-08-23 00:00:00","mann","He","A",NULL,NULL
"LAJ","1.0","Lasse","Juliussen","1986-01-14 00:00:00","0001-01-01 00:00:00","mann","He","A",NULL,NULL
"LAKO","1.0","Lars","Korvald","1916-04-29 00:00:00","2006-07-04 00:00:00","mann","Øs","KrF",NULL,NULL
"LALA","1.0","Lars Roar","Langslet","1936-03-05 00:00:00","0001-01-01 00:00:00","mann","Os","H",NULL,NULL
"LALE","1.0","Lars","Lefdal","1939-03-17 00:00:00","0001-01-01 00:00:00","mann","SF","H",NULL,NULL
"LALI","1.0","Lars","Leiro","1914-04-13 00:00:00","2005-03-22 00:00:00","mann","Ho","B",NULL,NULL
"LAMO","1.0","Lars Magnus","Moen","1885-11-29 00:00:00","1964-04-22 00:00:00","mann","Op","A",NULL,NULL
"LAPB","1.0","Lars Peder","Brekk","1955-10-08 00:00:00","0001-01-01 00:00:00","mann","NT","Sp","<span class=\"size-7\" name=\"0\">for lite data til å lage ordsky</span>","<span class=\"size-1\" name=\"0.288526228926\">miljøvernministeren</span><span class=\"size-3\" name=\"0.229378084705\">treslag</span><span class=\"size-3\" name=\"0.222137636346\">veilederen</span><span class=\"size-3\" name=\"0.213015750208\">aktsomhet</span><span class=\"size-4\" name=\"0.199766869052\">enigheten</span><span class=\"size-4\" name=\"0.195279111404\">uønsket</span><span class=\"size-4\" name=\"0.179867571808\">spredning</span><span class=\"size-5\" name=\"0.159881293668\">forutsatt</span><span class=\"size-5\" name=\"0.152640845309\">utenlandske</span><span class=\"size-5\" name=\"0.149476444306\">allerede</span><span class=\"size-5\" name=\"0.148058854498\">brukes</span><span class=\"size-5\" name=\"0.147732900207\">forskriften</span><span class=\"size-6\" name=\"0.14107080812\">bekrefte</span><span class=\"size-6\" name=\"0.136523133032\">fortsatt</span><span class=\"size-6\" name=\"0.134280834099\">tråd</span><span class=\"size-6\" name=\"0.132018962567\">tidligere</span><span class=\"size-6\" name=\"0.129046162766\">endre</span><span class=\"size-6\" name=\"0.128472133749\">nødvendig</span><span class=\"size-6\" name=\"0.128315902281\">hindre</span><span class=\"size-6\" name=\"0.127420962206\">står</span><span class=\"size-6\" name=\"0.120920577471\">viser</span><span class=\"size-6\" name=\"0.119766176399\">loven</span><span class=\"size-6\" name=\"0.11707001968\">initiativ</span><span class=\"size-7\" name=\"0.101655502416\">Norge</span><span class=\"size-7\" name=\"0.097809042059\">bruk</span><span class=\"size-7\" name=\"0.0929752373712\">lag</span><span class=\"size-9\" name=\"0.0567388549897\">ta</span>"
"LAPL","1.0","Lars T.","Platou","1920-07-02 00:00:00","2003-05-30 00:00:00","mann","He","H",NULL,NULL
"LARA","1.0","Lars","Ramndal","1893-05-06 00:00:00","1971-11-08 00:00:00","mann","Ro","V",NULL,NULL
"LARI","1.0","Lauritz Johan","Riise","1910-08-02 00:00:00","1978-04-30 00:00:00","mann","No","H",NULL,NULL
"LARO","1.0","Lars Sverkeson","Romundstad","1885-09-12 00:00:00","1961-06-30 00:00:00","mann","MR","B",NULL,NULL
"LASO","1.0","Lars","Storhaug","1935-09-28 00:00:00","0001-01-01 00:00:00","mann","Ro","H",NULL,NULL
"LASR","1.0","Lauritz Bernhard","Sirevaag","1926-03-14 00:00:00","0001-01-01 00:00:00","mann","Ro","H",NULL,NULL
"LASÆ","1.0","Lars","Sæter","1895-05-13 00:00:00","1988-05-27 00:00:00","mann","ST","KrF",NULL,NULL
"LAT","1.0","Laila","Thorsen","1967-06-26 00:00:00","0001-01-01 00:00:00","kvinne","Ro","A",NULL,NULL
"LATA","1.0","Lars","Tangvik","1902-05-23 00:00:00","1991-07-28 00:00:00","mann","ST","V",NULL,NULL
"LAVE","1.0","Lars","Velsand","1941-09-09 00:00:00","0001-01-01 00:00:00","mann","Op","Sp",NULL,NULL
"LBT",NULL,"Lars Bjarne","Tvete","1948-01-04 00:00:00","0001-01-01 00:00:00","mann","ST","H",NULL,NULL
"LCH","1.0","Linda C. Hofstad","Helleland","1977-08-26 00:00:00","0001-01-01 00:00:00","kvinne","ST","H","<span class=\"size-1\" name=\"17\">barn</span><span class=\"size-2\" name=\"14\"> 
</span><span class=\"size-3\" name=\"13\">sikre</span><span class=\"size-3\" name=\"13\">tiltak</span><span class=\"size-3\" name=\"12\">barnevernet</span><span class=\"size-3\" name=\"12\">Trondheim</span><span class=\"size-4\" name=\"11\">frem</span><span class=\"size-4\" name=\"11\"> (</span><span class=\"size-5\" name=\"10\">flere</span><span class=\"size-5\" name=\"10\">regjeringen</span><span class=\"size-5\" name=\"10\">gjøre</span><span class=\"size-5\" name=\"10\">få</span><span class=\"size-5\" name=\"9\">nye</span><span class=\"size-5\" name=\"9\">vold</span><span class=\"size-5\" name=\"9\">Midt-Norge</span><span class=\"size-5\" name=\"9\">kommuner</span><span class=\"size-6\" name=\"8\">politiet</span><span class=\"size-6\" name=\"8\">Regjeringen</span><span class=\"size-6\" name=\"8\">Mener</span><span class=\"size-6\" name=\"8\">ser</span><span class=\"size-6\" name=\"7\">hvorvidt</span><span class=\"size-6\" name=\"7\">forhold</span><span class=\"size-6\" name=\"7\">departementet</span><span class=\"size-6\" name=\"7\">gjør</span><span class=\"size-6\" name=\"7\">andre</span><span class=\"size-6\" name=\"7\">bruk</span><span class=\"size-6\" name=\"7\">bedre</span><span class=\"size-6\" name=\"7\">2010</span><span class=\"size-7\" name=\"6\">kommer</span><span class=\"size-7\" name=\"6\">henvisning</span>","<span class=\"size-1\" name=\"0.0247923115495\">barnevernet</span><span class=\"size-2\" name=\"0.0236977860559\">barn</span><span class=\"size-2\" name=\"0.0233982789618\">Trondheim</span><span class=\"size-3\" name=\"0.0183742693484\">Midt-Norge</span><span class=\"size-3\" name=\"0.0182313336181\">tiltak</span><span class=\"size-3\" name=\"0.0175904900698\">sikre</span><span class=\"size-4\" name=\"0.0171878053226\"> 
</span><span class=\"size-4\" name=\"0.0159705544902\">vold</span><span class=\"size-4\" name=\"0.0157561133188\">regjeringen</span><span class=\"size-4\" name=\"0.0156581208761\"> (</span><span class=\"size-4\" name=\"0.0149164029774\">frem</span><span class=\"size-5\" name=\"0.0148685371733\">kommuner</span><span class=\"size-5\" name=\"0.014845276471\">flere</span><span class=\"size-5\" name=\"0.0135858911695\">politiet</span><span class=\"size-5\" name=\"0.0129697474565\">nye</span><span class=\"size-5\" name=\"0.0126022931116\">Mener</span><span class=\"size-5\" name=\"0.0124814530596\">gjøre</span><span class=\"size-6\" name=\"0.012156324863\">2010</span><span class=\"size-6\" name=\"0.011565415313\">få</span><span class=\"size-6\" name=\"0.0112235839086\">Sør-Trøndelag</span><span class=\"size-6\" name=\"0.0112044202976\">basisbevilgninger</span><span class=\"size-6\" name=\"0.0110959791355\"> § </span><span class=\"size-6\" name=\"0.0109942390147\">Regjeringen</span><span class=\"size-6\" name=\"0.0109800183899\">hvorvidt</span><span class=\"size-6\" name=\"0.0109566059832\">Røros</span><span class=\"size-6\" name=\"0.0108138366509\">bedre</span><span class=\"size-6\" name=\"0.0106584749667\">barnevernstjenester</span><span class=\"size-6\" name=\"0.0105536665298\">henvisning</span><span class=\"size-6\" name=\"0.0104337283958\">redegjøre</span>"
"LCJ",NULL,"Leif Christian","Johansen","1978-03-21 00:00:00","0001-01-01 00:00:00","mann","Tr","KrF",NULL,NULL
"LD","1.0","Laila","Dåvøy","1948-08-11 00:00:00","0001-01-01 00:00:00","kvinne","Ho","KrF","<span class=\"size-1\" name=\"110\"> 
</span><span class=\"size-4\" name=\"70\">får</span><span class=\"size-5\" name=\"63\">få</span><span class=\"size-5\" name=\"56\">behandling</span><span class=\"size-5\" name=\"56\">sikre</span><span class=\"size-10\" name=\"55\">Helse</span><span class=\"size-6\" name=\"52\">pasienter</span><span class=\"size-6\" name=\"47\">barn</span><span class=\"size-7\" name=\"43\">gjøre</span><span class=\"size-7\" name=\"42\">fått</span><span class=\"size-7\" name=\"41\">viser</span><span class=\"size-7\" name=\"39\">spørsmål</span><span class=\"size-7\" name=\"37\">flere</span><span class=\"size-7\" name=\"37\"> (</span><span class=\"size-7\" name=\"36\">år</span><span class=\"size-7\" name=\"34\">Norge</span><span class=\"size-8\" name=\"32\">andre</span><span class=\"size-8\" name=\"32\">tiltak</span><span class=\"size-8\" name=\"31\">tilbud</span><span class=\"size-8\" name=\"30\">må</span><span class=\"size-8\" name=\"30\">nye</span><span class=\"size-8\" name=\"27\">store</span><span class=\"size-8\" name=\"26\">sørge</span><span class=\"size-8\" name=\"26\">behov</span><span class=\"size-8\" name=\"26\">sykehus</span><span class=\"size-8\" name=\"25\">mennesker</span><span class=\"size-8\" name=\"24\">Sør-Øst</span><span class=\"size-8\" name=\"23\">ta</span><span class=\"size-10\" name=\"22\">regjeringen</span><span class=\"size-10\" name=\"22\">2009</span>","<span class=\"size-1\" name=\"0.0319148527418\"> 
</span><span class=\"size-3\" name=\"0.0232942172629\">får</span><span class=\"size-4\" name=\"0.0220843092095\">Helse</span><span class=\"size-4\" name=\"0.0209889305379\">pasienter</span><span class=\"size-5\" name=\"0.0184549534208\">behandling</span><span class=\"size-5\" name=\"0.0179073112879\">sikre</span><span class=\"size-5\" name=\"0.0172190644557\">få</span><span class=\"size-6\" name=\"0.0157513329269\">fått</span><span class=\"size-6\" name=\"0.0154833339284\">barn</span><span class=\"size-6\" name=\"0.0147740339439\">viser</span><span class=\"size-6\" name=\"0.0141424548662\">spørsmål</span><span class=\"size-6\" name=\"0.0129806901547\">flere</span><span class=\"size-7\" name=\"0.0126835659888\">gjøre</span><span class=\"size-7\" name=\"0.0124467638454\"> (</span><span class=\"size-7\" name=\"0.0124145690908\">Sør-Øst</span><span class=\"size-7\" name=\"0.0110344687724\">andre</span><span class=\"size-7\" name=\"0.0107562442229\">tilbud</span><span class=\"size-7\" name=\"0.0106055411596\">tiltak</span><span class=\"size-7\" name=\"0.0102997060771\">Norge</span><span class=\"size-7\" name=\"0.0102168739276\">nye</span><span class=\"size-7\" name=\"0.0101636246443\">mennesker</span><span class=\"size-7\" name=\"0.00973724528746\">behov</span><span class=\"size-7\" name=\"0.00970139003857\">store</span><span class=\"size-7\" name=\"0.00958018755515\">sykehus</span><span class=\"size-8\" name=\"0.00930128130501\">sørge</span><span class=\"size-8\" name=\"0.00910744994169\">2009</span><span class=\"size-8\" name=\"0.00887328511048\">helseforetakene</span><span class=\"size-8\" name=\"0.00881861944402\">helse-</span><span class=\"size-8\" name=\"0.00846218738364\">2008</span>"
"LEBL","1.0","Leiv","Blakset","1928-12-28 00:00:00","2005-05-22 00:00:00","mann","SF","Sp",NULL,NULL
"LEBU","1.0","Leif Bjorholt","Burull","1895-11-29 00:00:00","1971-11-18 00:00:00","mann",NULL,"H",NULL,NULL
"LEGR","1.0","Leif","Granli","1909-09-25 00:00:00","1988-03-17 00:00:00","mann","NT","A",NULL,NULL
"LEGØ","1.0","Leif","Grøner","1884-11-12 00:00:00","1971-10-17 00:00:00","mann","Øs","H",NULL,NULL
"LEJ","1.0","Lena","Jensen","1973-01-29 00:00:00","0001-01-01 00:00:00","kvinne","Tr","SV",NULL,NULL
"LEJS","1.0","Leif J.","Sevland","1961-09-13 00:00:00","0001-01-01 00:00:00","mann","Ro","H",NULL,NULL
"LEK","1.0","Leif Helge","Kongshaug","1949-07-31 00:00:00","0001-01-01 00:00:00","mann","MR","V",NULL,NULL
"LEST","1.0","Leiv","Stensland","1934-05-06 00:00:00","0001-01-01 00:00:00","mann","Ho","A",NULL,NULL
"LFO","1.0","Leif Frode","Onarheim","1934-08-23 00:00:00","0001-01-01 00:00:00","mann","Ak","H",NULL,NULL
"LGL","1.0","Lars Gunnar","Lie","1938-09-18 00:00:00","0001-01-01 00:00:00","mann","SF","KrF",NULL,NULL
