id,saker_id,"personer_id"
16594,1328,"TON"
16539,1330,"SB"
16562,1331,"AD"
16603,1344,"MN"
16628,1348,"ARL"
16614,1350,"KTF"
16561,1353,"GO"
16567,1364,"GHA"
16540,1376,"SIO"
16593,1377,"OJB"
16149,1391,"GHA"
16626,1412,"KNA"
16627,1413,"GUNM"
16568,1455,"FFG"
16564,1493,"AD"
16565,1494,"ASK"
16595,1495,"ASK"
16525,1734,"VK"
16516,1735,"OH"
16519,1736,"ILH"
16529,1737,"VK"
16528,1786,"JK"
16520,1789,"BEHA"
16518,1790,"LLU"
16531,1791,"MN"
16527,1792,"DAD"
16517,1793,"LR"
16526,1794,"JP"
16532,1795,"OAS"
16521,1796,"AG"
16522,1797,"TROH"
16533,1798,"KAO"
16523,1800,"OTL"
16530,1801,"AMN"
16534,1802,"ESF"
16535,1803,"ASK"
17291,1804,"KHA"
16536,1811,"LLU"
17136,1820,"PES"
17203,1821,"HTN"
17177,1822,"PES"
17202,1823,"ARN"
17099,1824,"UAA"
17303,1825,"TON"
17205,1826,"ASK"
17242,1827,"AAS"
17227,1828,"HJR"
17228,1829,"HJR"
17265,1830,"MORO"
17266,1831,"AWN"
17140,1832,"BJH"
17267,1833,"TNY"
17204,1834,"ML"
17286,1835,"TROH"
17167,1836,"JOA"
17137,1837,"OTL"
17178,1838,"LMM"
17179,1839,"UAA"
17298,1840,"TAN"
17285,1841,"TR"
17229,1842,"JK"
17188,1843,"JLS"
17274,1862,"SKO"
17275,1863,"REK"
17304,1864,"HMS"
17244,1865,"MTI"
17117,1866,"LR"
17241,1879,"ES"
17230,1886,"CIH"
17231,1886,"GS"
17232,1886,"ILH"
17233,1886,"JK"
17234,1886,"KHA"
17235,1886,"LK"
17236,1886,"OH"
17237,1886,"VK"
17245,1887,"CIH"
17307,1893,"RF"
17186,1933,"EOS"
17168,1934,"JOA"
17176,1935,"KBO"
17158,1936,"OLGB"
16537,1939,"JJJ"
17264,1948,"FKM"
17263,1949,"JES"
17283,1950,"OHE"
17284,1951,"MODA"
17238,1967,"JK"
17239,1967,"SHL"
17240,1968,"CIH"
17297,1996,"LGL"
17294,2002,"LGL"
17295,2003,"LGL"
17276,2005,"KKG"
17206,2006,"OLAG"
17207,2008,"BJO"
17208,2009,"BJO"
17185,2010,"JPR"
17277,2013,"FFG"
17278,2017,"MN"
17034,2022,"JD"
17249,2023,"JS"
17189,2024,"VB"
17201,2026,"GUO"
17164,2027,"OTL"
17250,2028,"UAA"
17301,2029,"TON"
17296,2032,"LGL"
17299,2033,"ANH"
17300,2034,"BHI"
17305,2035,"RF"
17306,2036,"TON"
17184,2046,"BJH"
17272,2047,"ESF"
17180,2050,"GBR"
17086,2052,"KBO"
17248,2053,"PEM"
17192,2054,"KNA"
17247,2055,"LGL"
17190,2056,"TON"
17191,2057,"KES"
17282,2059,"IVK"
17163,2060,"LEK"
17290,2061,"GRF"
17273,2062,"VB"
17213,2063,"JS"
17183,2064,"TNY"
17270,2065,"FKM"
17251,2066,"SOH"
17172,2068,"UE"
17142,2069,"ES"
17087,2070,"INS"
17175,2071,"TP"
17055,2074,"HER"
17255,2075,"AUB"
17154,2076,"BYR"
17174,2078,"AGV"
17098,2079,"OTL"
17254,2080,"OR"
17181,2081,"EGH"
17271,2082,"GUO"
17162,2083,"IM"
17252,2084,"ADV"
17253,2085,"JIA"
17085,2086,"PB"
17279,2087,"HBL"
17173,2090,"HHO"
17193,2092,"JH"
17214,2118,"ILH"
17215,2118,"KHA"
17216,2118,"LK"
17217,2118,"SHL"
17218,2118,"VK"
17281,2128,"INL"
17209,2139,"BJO"
17054,2140,"GGF"
17143,2141,"SONS"
17302,2142,"INGS"
17243,2146,"BHH"
17073,2152,"ABS"
17200,2153,"HFF"
17280,2163,"BJØB"
17212,2170,"SHL"
17287,2176,"KKG"
17288,2176,"MABV"
17289,2176,"OJB"
17119,2199,"GKV"
17157,2200,"UAA"
